Curb-Weight,# of Cyliners,Horsepower
2548,four,111
2548,four,111
2823,six,154
2337,four,102
2824,five,115
2507,five,110
2844,five,110
2954,five,110
3086,five,140
2395,four,101
2395,four,101
2710,six,121
2765,six,121
3055,six,121
3230,six,182
3380,six,182
3505,six,182
1874,four,70
1909,four,70
1876,four,68
1876,four,68
2128,four,102
1967,four,68
1989,four,68
1989,four,68
2535,four,88
2811,four,145
1713,four,58
1819,four,76
1837,four,60
1940,four,76
1956,four,76
2010,four,76
2024,four,76
2236,four,86
2289,four,86
2304,four,86
2372,four,86
2465,four,101
2293,four,100
2337,four,78
2734,four,90
4066,six,176
4066,six,176
3950,twelve,262
1890,four,68
1900,four,68
1905,four,68
1945,four,68
1950,four,68
2385,four,84
2410,four,84
2385,four,84
2410,four,84
2425,four,84
2670,four,120
2700,four,72
3515,five,123
3750,five,123
3495,five,123
3770,five,123
3740,eight,155
3685,eight,155
3900,eight,184
3715,eight,184
2910,four,175
1918,four,68
1944,four,68
2004,four,68
2145,four,102
2370,four,116
2328,four,88
2833,four,145
2921,four,145
2926,four,145
2365,four,88
2405,four,88
2403,four,116
2403,four,116
1889,four,69
2017,four,55
1918,four,69
1938,four,69
2024,four,69
1951,four,69
2028,four,69
1971,four,69
2037,four,69
2008,four,69
2324,four,97
2302,four,97
3095,six,152
3296,six,152
3060,six,152
3071,six,160
3139,six,200
3139,six,160
3020,four,97
3197,four,95
3230,four,97
3430,four,95
3075,four,95
3252,four,95
3285,four,95
3485,four,95
3075,four,97
3252,four,95
3130,four,142
1918,four,68
2128,four,102
1967,four,68
1989,four,68
2191,four,68
2535,four,88
2818,four,145
2778,four,143
2756,six,207
2756,six,207
2800,six,207
2658,four,110
2695,four,110
2707,four,110
2758,four,110
2808,four,160
2847,four,160
2050,four,69
2120,four,73
2240,four,73
2145,four,82
2190,four,82
2340,four,94
2385,four,82
2510,four,111
2290,four,82
2455,four,94
2420,four,82
2650,four,111
1985,four,62
2040,four,62
2015,four,62
2280,four,62
2290,four,62
3110,four,62
2081,four,70
2109,four,70
2275,four,56
2275,four,56
2094,four,70
2122,four,70
2140,four,70
2169,four,70
2204,four,70
2265,four,112
2300,four,112
2540,four,116
2536,four,116
2551,four,116
2679,four,116
2714,four,116
2975,four,116
2326,four,92
2480,four,73
2414,four,92
2414,four,92
2458,four,92
2976,six,161
3016,six,161
3131,six,156
3151,six,156
2261,four,52
2209,four,85
2264,four,52
2212,four,85
2275,four,85
2319,four,68
2300,four,100
2254,four,90
2221,four,90
2661,five,110
2579,four,68
2563,four,88
2912,four,114
3034,four,114
2935,four,114
3042,four,114
3045,four,162
3157,four,162
2952,four,114
3049,four,160
3012,six,134
3217,six,106
3062,four,114
